cell,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
-6.508,0.000645795
-6.408,0.0007694607
-6.308,0.0008383534
-6.208,0.000836145
-6.108,0.0008773428
-6.008,0.0009444436
-5.908,0.0010393
-5.808,0.001191567
-5.708,0.0009826615
-5.608,0.001421795
-5.508,0.001372303
-5.408,0.001401152
-5.308,0.0009091652
-5.208,0.0007676994
-5.108,0.0005550385
-5.008,0.0002117963
-4.908,4.773985E-05
-4.808,0.0003901784
-4.708,0.0007105055
-4.608,0.001365607
-4.508,0.002067935
-4.408,0.003047753
-4.308,0.003690326
-4.208,0.004030923
-4.108,0.003641251
-4.008,0.003158355
-3.908,0.002514121
-3.808,0.001949656
-3.708,0.00197423
-3.608,0.002206582
-3.508,0.00223341
-3.408,0.002313169
-3.308,0.002271126
-3.208,0.002358007
-3.108,0.002492773
-3.008,0.002704544
-2.908,0.003016079
-2.808,0.00288575
-2.708,0.003040665
-2.608,0.002950328
-2.508,0.003281844
-2.408,0.00344508
-2.308,0.00348001
-2.208,0.003569929
-2.108,0.00369706
-2.008,0.003704359
-1.908,0.003682806
-1.808,0.003652234
-1.708,0.003771783
-1.608,0.003671832
-1.508,0.003696268
-1.408,0.003671379
-1.308,0.00387149
-1.208,0.003838729
-1.108,0.003847128
-1.008,0.003838891
-0.9079997,0.003963389
-0.8079997,0.003773634
-0.7079997,0.003860985
-0.6079997,0.003897697
-0.5079997,0.003577417
-0.4079997,0.003511427
-0.3079997,0.003377211
-0.2079997,0.003142898
-0.1079997,0.003241433
-0.007999703,0.003277265
0.0920003,0.003057378
0.1920003,0.002630377
0.2920003,0.002776754
0.3920003,0.002420628
0.4920003,0.002435754
0.5920003,0.00242218
0.6920003,0.002204798
0.7920003,0.001940942
0.8920004,0.002247046
0.9920003,0.00213678
1.092,0.002104502
1.192,0.002202598
1.292,0.00207222
1.392,0.00198841
1.492,0.002041904
1.592,0.00171236
1.692,0.001449817
1.792,0.001405393
1.892,0.001485
1.992,0.001299096
2.092,0.001351546
2.192,0.001199735
2.292,0.000816624
2.392,0.0008635597
2.492,0.0009013084
2.592,0.000638211
2.692,0.0008786353
2.792,0.001091839
2.892,0.001111896
2.992,0.001219748
3.092,0.001251705
3.192,0.001039064
3.292,0.001126723
3.392001,0.001292587
3.492,0.001129406
3.592,0.0009953288
3.692,0.001022532
3.792,0.000903913
3.892,0.0008417567
3.992,0.0005629217
4.092,0.0007512604
4.192,0.00059843
4.292,0.0006669776
4.392,0.000807911
4.492001,0.0008420197
4.592,0.0007808321
4.692,0.0007026896
4.792,0.0008205643
4.892,0.001015799
4.992001,0.001002445
5.092,0.001285194
5.192,0.001051547
5.292,0.0008875446
5.392,0.0006241181
5.492001,0.0005211586
5.592,0.0002830031
5.692,-3.126722E-05
5.792,-0.0005306391
5.892,-0.0004175755
5.992001,-0.0005867574
6.092,-0.0004856571
6.192,-0.0002698658
6.292,-3.532725E-05
6.392,0.0001113416
6.492001,-3.797446E-06
6.592,-0.0001833977
6.692,-0.0002389738
6.792001,-0.0003998924
6.892,-0.0002482985
6.992001,-0.0002058043
7.092,-0.0001647874
7.192,-0.0002933789
7.292001,-0.000354956
7.392,-0.0004199089
7.492001,-0.0006744842
7.592,-0.0009958013
7.692,-0.00101052
7.792001,-0.001185243
7.892,-0.001017147
7.992001,-0.00116664
8.092,-0.001386872
8.192,-0.001585605
8.292001,-0.001806648
8.392,-0.002172201
8.492001,-0.00216227
8.592,-0.002205902
8.692,-0.002122134
8.792001,-0.001588742
8.892,-0.001120832
8.992001,-0.0005676824
9.092,-0.0003923349
9.192,0.0001327286
9.292001,0.0007717428
9.392,0.001092783
9.492001,0.001855948
9.592,0.002631664
9.692,0.003379597
9.792001,0.004128866
9.892,0.004548957
9.992001,0.004829549
10.092,0.004862522
10.192,0.005432106
10.292,0.005902768
10.392,0.006329603
10.492,0.006573671
10.592,0.007130927
10.692,0.007500753
10.792,0.00795532
10.892,0.008302692
10.992,0.008855313
11.092,0.008809588
11.192,0.009188289
11.292,0.009226012
11.392,0.009613305
11.492,0.009738963
11.592,0.01018555
11.692,0.01035907
11.792,0.01043391
11.892,0.01073576
11.992,0.01058391
12.092,0.01081229
12.192,0.01079889
12.292,0.01066379
12.392,0.01089845
12.492,0.01063315
12.592,0.01073319
12.692,0.01071099
12.792,0.01075892
12.892,0.01080909
12.992,0.01084394
13.092,0.01086221
13.192,0.01078645
13.292,0.01119199
13.392,0.01099517
13.492,0.01089069
13.592,0.01112764
13.692,0.01125323
13.792,0.01111182
13.892,0.01129972
13.992,0.01124999
14.092,0.01158203
14.192,0.01183006
14.292,0.01204447
14.392,0.01264517
14.492,0.01336843
14.592,0.01422918
14.692,0.01504984
14.792,0.01588902
14.892,0.01681714
14.992,0.01719247
15.092,0.01866527
15.192,0.01962303
15.292,0.02038016
15.392,0.02129926
15.492,0.02239066
15.592,0.02363102
15.692,0.02454664
