cell with spacer,
Reference Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
-6.508,0.05998921
-6.408,0.06112364
-6.308,0.06208751
-6.208,0.06313537
-6.108,0.06418048
-6.008,0.06531851
-5.908,0.06642598
-5.808,0.06783115
-5.708,0.06888763
-5.608,0.07002053
-5.508,0.07043307
-5.408,0.07086246
-5.308,0.07147666
-5.208,0.07195491
-5.108,0.07248019
-5.008,0.07315129
-4.908,0.07407422
-4.808,0.0750827
-4.708,0.07630183
-4.608,0.07775477
-4.508,0.0796245
-4.408,0.08067235
-4.308,0.0805435
-4.208,0.07932878
-4.108,0.07638989
-4.008,0.07329884
-3.908,0.07056326
-3.808,0.0689825
-3.708,0.06791405
-3.608,0.06628704
-3.508,0.06416152
-3.408,0.06234071
-3.308,0.05995246
-3.208,0.05729771
-3.108,0.05353407
-3.008,0.04898417
-2.908,0.04417947
-2.808,0.03867242
-2.708,0.03213315
-2.608,0.02495945
-2.508,0.01682569
-2.408,0.007789667
-2.308,-0.002658522
-2.208,-0.01410371
-2.108,-0.02704812
-2.008,-0.04129644
-1.908,-0.05677263
-1.808,-0.07417835
-1.708,-0.09357423
-1.608,-0.1144556
-1.508,-0.1380232
-1.408,-0.1642393
-1.308,-0.1936767
-1.208,-0.226305
-1.108,-0.2611135
-1.008,-0.3004183
-0.9079997,-0.3433582
-0.8079997,-0.3907697
-0.7079997,-0.4427795
-0.6079997,-0.4997322
-0.5079997,-0.5627232
-0.4079997,-0.6315671
-0.3079997,-0.7064077
-0.2079997,-0.7874053
-0.1079997,-0.8752435
-0.007999703,-0.9699413
0.0920003,-1.072583
0.1920003,-1.183081
0.2920003,-1.303013
0.3920003,-1.431642
0.4920003,-1.570128
0.5920003,-1.718904
0.6920003,-1.881881
0.7920003,-2.057173
0.8920004,-2.24763
0.9920003,-2.454842
1.092,-2.672628
1.192,-2.882525
1.292,-3.037778
1.392,-3.039992
1.492,-2.725922
1.592,-1.892259
1.692,-0.350058
1.792,1.893854
1.892,4.49412
1.992,6.720647
2.092,7.635844
2.192,6.607269
2.292,3.893996
2.392,0.7822445
2.492,-1.129749
2.592,-1.039015
2.692,0.1603005
2.792,0.8518738
2.892,0.6494478
2.992,0.4035744
3.092,0.5154964
3.192,0.5343912
3.292,0.4124593
3.392001,0.5086448
3.492,0.6462208
3.592,0.6024784
3.692,0.603861
3.792,0.6371524
3.892,0.5532262
3.992,0.5215253
4.092,0.5561833
4.192,0.5451527
4.292,0.5420613
4.392,0.5151797
4.492001,0.469128
4.592,0.4766323
4.692,0.4855841
4.792,0.4846909
4.892,0.4901218
4.992001,0.4784423
5.092,0.4742496
5.192,0.4866226
5.292,0.4826944
5.392,0.4677541
5.492001,0.451944
5.592,0.4183539
5.692,0.3944402
5.792,0.3916481
5.892,0.3955425
5.992001,0.3923677
6.092,0.3579226
6.192,0.3189877
6.292,0.2813356
6.392,0.2555867
6.492001,0.262951
6.592,0.2752459
6.692,0.264805
6.792001,0.2362248
6.892,0.2107242
6.992001,0.2000987
7.092,0.1909672
7.192,0.1770905
7.292001,0.1633611
7.392,0.147825
7.492001,0.1408575
7.592,0.1419589
7.692,0.1485674
7.792001,0.1601565
7.892,0.1579804
7.992001,0.1381776
8.092,0.12181
8.192,0.1253452
8.292001,0.1344564
8.392,0.124295
8.492001,0.1068269
8.592,0.1007505
8.692,0.09161496
8.792001,0.08036423
8.892,0.07928643
8.992001,0.06894025
9.092,0.04026368
9.192,0.02051036
9.292001,0.02096675
9.392,0.02551704
9.492001,0.02209922
9.592,0.02131129
9.692,0.0195777
9.792001,0.004067546
9.892,-0.01214549
9.992001,-0.01702295
10.092,-0.01276339
10.192,-0.01151213
10.292,-0.02555157
10.392,-0.03826138
10.492,-0.03887061
10.592,-0.04338023
10.692,-0.04684955
10.792,-0.04020369
10.892,-0.04375979
10.992,-0.07083695
11.092,-0.09331924
11.192,-0.09172402
11.292,-0.08777454
11.392,-0.09261663
11.492,-0.08634432
11.592,-0.07268291
11.692,-0.0768773
11.792,-0.08773706
11.892,-0.0928386
11.992,-0.1054473
12.092,-0.1234427
12.192,-0.1303065
12.292,-0.1280988
12.392,-0.130249
12.492,-0.1322823
12.592,-0.1304059
12.692,-0.1397158
12.792,-0.1608411
12.892,-0.1718551
12.992,-0.1667684
13.092,-0.1604441
13.192,-0.163375
13.292,-0.1677609
13.392,-0.1637224
13.492,-0.1598415
13.592,-0.1636039
13.692,-0.165868
13.792,-0.1691461
13.892,-0.1840217
13.992,-0.2056447
14.092,-0.220225
14.192,-0.2189288
14.292,-0.2036848
14.392,-0.1832375
14.492,-0.166441
14.592,-0.1581023
14.692,-0.165931
14.792,-0.1951252
14.892,-0.2242976
14.992,-0.2237146
15.092,-0.1967614
15.192,-0.1710243
15.292,-0.1655057
15.392,-0.1738355
15.492,-0.1834924
15.592,-0.187433
15.692,-0.1872126
15.792,-0.1856858
15.892,-0.1860531
15.992,-0.1864525
16.092,-0.1759889
16.192,-0.1563367
16.292,-0.1532931
16.392,-0.1735369
16.492,-0.1939681
16.592,-0.2041735
16.692,-0.2032237
16.792,-0.1851372
16.892,-0.1586793
16.992,-0.1474313
17.092,-0.1549639
17.192,-0.1585674
17.292,-0.1529788
17.392,-0.148608
17.492,-0.151717
17.592,-0.160227
17.692,-0.1629153
17.792,-0.1479502
17.892,-0.1133466
17.992,-0.07504513
18.092,-0.06309772
18.192,-0.08883875
18.292,-0.1177822
18.392,-0.1165506
18.492,-0.09027582
18.592,-0.05234474
18.692,-0.01222633
18.792,0.002550606
18.892,-0.0228369
18.992,-0.05922607
19.092,-0.06728265
19.192,-0.0619119
19.292,-0.0725018
19.392,-0.0752192
19.492,-0.05239075
19.592,-0.03101621
19.692,-0.02098498
19.792,-0.0131084
19.892,-0.01501806
19.992,-0.03274325
20.092,-0.05601739
20.192,-0.06464333
20.292,-0.0522626
20.392,-0.02801307
20.492,-0.004944607
20.592,-0.0007135579
20.692,-0.01516755
20.792,-0.02683267
20.892,-0.02719789
20.992,-0.0213165
21.092,-0.01786619
21.192,-0.02316877
21.292,-0.02876391
21.392,-0.01684211
21.492,0.004576586
21.592,0.01277964
21.692,0.0001635137
21.792,-0.02471314
21.892,-0.04903768
21.992,-0.05446712
22.092,-0.02911412
22.192,0.00961904
22.292,0.02712805
22.392,0.01592967
22.492,-0.003972602
22.592,-0.01310698
22.692,0.001268229
22.792,0.02201416
22.892,0.02241716
22.992,0.01187372
23.092,0.006232619
23.192,0.005125435
23.292,0.01197735
23.392,0.01790152
23.492,0.00458743
23.592,-0.01555868
23.692,-0.01805055
23.792,-0.009259356
23.892,-0.005412604
23.992,-0.002481878
24.092,0.002496977
24.192,-0.009609563
24.292,-0.02961355
24.392,-0.02144978
24.492,0.007422045
24.592,0.02079106
24.692,0.02135036
24.792,0.02826738
24.892,0.04028502
24.992,0.05084775
25.092,0.06348802
25.192,0.07019732
25.292,0.05223009
25.392,0.02552164
25.492,0.02219055
25.592,0.03397438
25.692,0.04527337
25.792,0.05730816
25.892,0.06071375
25.992,0.04740586
26.092,0.02764846
26.192,0.02207004
26.292,0.03837986
26.392,0.05463566
26.492,0.04891366
26.592,0.0287042
26.692,0.01773278
26.792,0.01861726
26.892,0.01417516
26.992,0.002409683
27.092,-0.006648925
27.192,-0.0207388
27.292,-0.03701394
