water room temp,
Sample Time Domain Signal,
Optical delay (ps),Terahertz signal (a.u.)
-6.508,-0.003663209
-6.408,-0.003684835
-6.308,-0.003699615
-6.208,-0.003608999
-6.108,-0.003608007
-6.008,-0.003640739
-5.908,-0.003553365
-5.808,-0.003553128
-5.708,-0.003492452
-5.608,-0.003605465
-5.508,-0.003814991
-5.408,-0.003448396
-5.308,-0.003521545
-5.208,-0.003517425
-5.108,-0.003622087
-5.008,-0.003671435
-4.908,-0.003545944
-4.808,-0.003406726
-4.708,-0.003595344
-4.608,-0.003492438
-4.508,-0.003480418
-4.408,-0.003507173
-4.308,-0.003626817
-4.208,-0.00365195
-4.108,-0.003721174
-4.008,-0.003662525
-3.908,-0.003677427
-3.808,-0.003318563
-3.708,-0.003084902
-3.608,-0.003106916
-3.508,-0.003128072
-3.408,-0.002945418
-3.308,-0.003038176
-3.208,-0.003060089
-3.108,-0.003033702
-3.008,-0.00296543
-2.908,-0.002836255
-2.808,-0.002853244
-2.708,-0.002826031
-2.608,-0.003108119
-2.508,-0.002755492
-2.408,-0.002786396
-2.308,-0.002803967
-2.208,-0.00241283
-2.108,-0.00272185
-2.008,-0.002580604
-1.908,-0.002515784
-1.808,-0.002546521
-1.708,-0.002580615
-1.608,-0.002446322
-1.508,-0.002378653
-1.408,-0.002629466
-1.308,-0.002472158
-1.208,-0.002636187
-1.108,-0.002540101
-1.008,-0.002563447
-0.9079997,-0.002389474
-0.8079997,-0.002134585
-0.7079997,-0.002124823
-0.6079997,-0.002406417
-0.5079997,-0.002087729
-0.4079997,-0.002186144
-0.3079997,-0.002230074
-0.2079997,-0.002052023
-0.1079997,-0.00198864
-0.007999703,-0.001996413
0.0920003,-0.00174342
0.1920003,-0.00209388
0.2920003,-0.001888482
0.3920003,-0.002302039
0.4920003,-0.002010221
0.5920003,-0.002155764
0.6920003,-0.002171046
0.7920003,-0.002159677
0.8920004,-0.002264871
0.9920003,-0.002024275
1.092,-0.002191315
1.192,-0.002388524
1.292,-0.00215495
1.392,-0.002441619
1.492,-0.002423823
1.592,-0.002593437
1.692,-0.002542069
1.792,-0.002673532
1.892,-0.002533492
1.992,-0.002600779
2.092,-0.002639773
2.192,-0.003045403
2.292,-0.002808983
2.392,-0.00286301
2.492,-0.002779889
2.592,-0.002875007
2.692,-0.003028748
2.792,-0.003046145
2.892,-0.003119662
2.992,-0.003109571
3.092,-0.003328791
3.192,-0.003308577
3.292,-0.003278517
3.392001,-0.003373922
3.492,-0.003530215
3.592,-0.003436836
3.692,-0.003276392
3.792,-0.003438195
3.892,-0.00343806
3.992,-0.003618445
4.092,-0.003489577
4.192,-0.003757346
4.292,-0.003720841
4.392,-0.003718328
4.492001,-0.00347103
4.592,-0.003781394
4.692,-0.003890385
4.792,-0.003610337
4.892,-0.00349861
4.992001,-0.003752126
5.092,-0.003704828
5.192,-0.003689432
5.292,-0.003772401
5.392,-0.003452126
5.492001,-0.003872571
5.592,-0.003681287
5.692,-0.003773873
5.792,-0.003877064
5.892,-0.003692438
5.992001,-0.003651039
6.092,-0.003903292
6.192,-0.003914787
6.292,-0.004114687
6.392,-0.004023604
6.492001,-0.004149975
6.592,-0.004156326
6.692,-0.004175917
6.792001,-0.004350316
6.892,-0.004534896
6.992001,-0.004331638
7.092,-0.004464838
7.192,-0.004452027
7.292001,-0.004422886
7.392,-0.00467248
7.492001,-0.004634439
7.592,-0.004601619
7.692,-0.004803167
7.792001,-0.004686381
7.892,-0.004815374
7.992001,-0.004896007
8.092,-0.004962754
8.192,-0.005039083
8.292001,-0.004976754
8.392,-0.00501928
8.492001,-0.005075894
8.592,-0.005411539
8.692,-0.005439642
8.792001,-0.005410264
8.892,-0.005613916
8.992001,-0.005611897
9.092,-0.005758083
9.192,-0.005740174
9.292001,-0.00568691
9.392,-0.005913022
9.492001,-0.0059471
9.592,-0.005778432
9.692,-0.005944192
9.792001,-0.00581554
9.892,-0.005733361
9.992001,-0.005482053
10.092,-0.005455723
10.192,-0.005241362
10.292,-0.00524827
10.392,-0.004874809
10.492,-0.004654596
10.592,-0.004599296
10.692,-0.004246533
10.792,-0.00391743
10.892,-0.003650262
10.992,-0.003645088
11.092,-0.003536183
11.192,-0.003164959
11.292,-0.002861307
11.392,-0.002832559
11.492,-0.002777823
11.592,-0.002585026
11.692,-0.002162442
11.792,-0.002220336
11.892,-0.001972714
11.992,-0.001825895
12.092,-0.001423109
12.192,-0.001405242
12.292,-0.001504578
12.392,-0.001143251
12.492,-0.0007758823
12.592,-0.0007629145
12.692,-0.0007145968
12.792,-0.0006770209
12.892,-0.0006654873
12.992,-0.0003752521
13.092,-0.0003509773
13.192,-0.0003513388
13.292,-0.0001609879
13.392,-0.0002075254
13.492,-0.0002676322
13.592,-0.0001114721
13.692,-0.0003830207
13.792,3.382221E-05
13.892,-0.0001246439
13.992,-0.0001567356
14.092,5.202934E-05
14.192,0.0001121305
14.292,0.0001692253
